"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravenfolk Scout,Medium,Humanoid,Kenku,Neutral,1/2,,,,,,,,,,,ø,,,,,,,ø,,Tome of Beasts,322,,,Kalka-Kylla,Large,Monstrosity,,Neutral,3,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,238,,,,,,,,,,,
Ravenfolk Warrior,Medium,Humanoid,Kenku,Neutral,3,,,,,,,,,,,ø,,,,,,,ø,,Tome of Beasts,323,,,Kelpie,Medium,Plant,,Neutral Evil,4,,,,,,,,,ø,,,,,,ø,,ø,,,Tales from the Yawning Portal,238,,,,,,,,,,,
Ravenous Wendigo,Large,Monstrosity,,Chaotic Evil,2,,,,,,,,x,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,394,,,Malformed Kraken,Huge,Monstrosity,,Chaotic Evil,10,,,,,,,,,ø,,,,,,,,ø,,,Tales from the Yawning Portal,239,,,,,,,,,,,
Razerblast,Medium,Humanoid,Human,Chaotic Evil,5,,,,,,,,,,,,,,,,,,,,Princes of the Apocalypse,201,,,Nereid,Medium,Fey,,Any Chaotic,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,240,,,,,,,,,,,
Razorleaf,Medium,Plant,,Neutral Evil,5,,,,,,,,,,,x,,,,,,,,,Creature Codex,317,,,Ooze Master,Huge,Undead,,Lawful Neutral,10,,x,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,241,,,,,,,,,,,
Re-Animated Guard,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,360,,,Sharwyn Hucrele,Medium,Humanoid,,Neutral Evil,1/2,,x,,,x,,,,,,,,,,,,,,,Tales from the Yawning Portal,242,,,,,,,,,,,
Re-Animated Laborer,Medium,Construct,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,359,,,Sir Breaford,Medium,Humanoid,Human,Neutral Evil,1/2,,,,,x,,,,,,,,,,,,,,,Tales from the Yawning Portal,243,,,,,,,,,,,
Re-Animated Soldier,Medium,Construct,,Unaligned,4,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,360,,,Siren,Medium,Fey,,Chaotic Good,3,,x,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,243,,,,,,,,,,,
Reaper of Bhaal,Medium,Humanoid,Human,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233,,,Tarul Var,Medium,Undead,,Neutral Evil,13,,x,x,,x,,,,,,,,,,,,,,,Tales from the Yawning Portal,244,,,,,,,,,,,
Reckoner,Medium,Humanoid,Any Race,Lawful Good,4,,x,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,231,,,Tecuziztecatl,Large,Monstrosity,,Neutral,4,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,245,,,,,,,,,,,
Red Abishai,Medium,Fiend,devil,Lawful Evil,19,,,,,,,,,,,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,40,,,Thayan Apprentice,Medium,Humanoid,,Any Non-Good,2,,x,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,245,,,,,,,,,,,
Red Abishai,Medium,Fiend,Devil,Lawful Neutral,19,,,,,,,,,,,,,,x,,,,x,ø,Mordenkainen's Tome of Foes,162,,,Thayan Warrior,Medium,Humanoid,,Any Non-Good,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,246,,,,,,,,,,,
Red Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,,,,,x,,x,,,,Fifth Edition Foes,85,,,Thorn Slinger,Large,Plant,,Unaligned,1/2,,,,,,,,,,,ø,,,,,,,,,Tales from the Yawning Portal,246,,,,,,,,,,,
Red Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,4,,,,,,,,,,,,,x,x,,,,,,Monster Manual,98,,,White Maw,Gargantuan,Ooze,,Chaotic Neutral,10,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,248,,,,,,,,,,,
Red Hag,Medium,Fey,Hag,Neutral Evil,7,,x,,,,,,,ø,,ø,,,,,ø,,,,Tome of Beasts,244,,,Yusdrayl,Small,Humanoid,Kobold,Lawful Neutral,1,,x,,,x,,,,,,,,,,,,,,,Tales from the Yawning Portal,248,,,,,,,,,,,
Red Jester,Medium,Undead,,Chaotic Neutral,5,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,192,,,Decapus,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,x,,,,,,,,,The Tortle Package,21,,,,,,,,,,,
Red Slaad,Large,Aberration,,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,,ø,Monster Manual,276,,,Geonid,Small,Elemental,,Neutral,1/4,,,,,,,,,,,,,,,,x,,,x,The Tortle Package,22,,,,,,,,,,,
Red-Banded Line,Tiny,Beast,,Unaligned,1/4,,,,,,,,,,,ø,,,,ø,,,ø,,Tome of Beasts,363,,,Topi,Small,Undead,,Chaotic Evil,1/2,,,,,,,,,,,ø,,,,,,,ø,,The Tortle Package,22,,,,,,,,,,,
Redbrand Ruffian,Medium,Humanoid,Human,Neutral Evil,1/2,,,,,,,,,,,,,,,,,,,,Lost Mines of Phandelver,61,,,Mister Witch,Medium,Humanoid,"Elf, Shadar-kai",Chaotic Good,3,,x,,,x,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,25,,,,,,,,,,,
Redcap,Small,Fey,,Chaotic Evil,3,,,,,,,,,,,x,,x,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,208,"Volo's Guide to Monsters 188, Baldur's Gate: Descent into Avernus 240, Infernal Machine Rebuild 79, The Wild Beyond The Witchlight 240",,Mister Light,Medium,Humanoid,"Elf, Shadar-kai",Chaotic Good,3,,x,,,x,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,26,,,,,,,,,,,
Redcap,Medium,Fey,,Neutral Evil,6,,,,,,,,,,,ø,,,,,,,ø,,Tome of Beasts,325,,,Witchlight Hands,Medium,Humanoid,,Any,1/8,,x,,,,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,27,,,,,,,,,,,
Reef Shark,Medium,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,x,,,Monster Manual,336,Player's Handbook 309,,Witchlight Hands,Small,Humanoid,,Any,1/8,,x,,,,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,27,,,,,,,,,,,
Relentless Juggernaut,Large,Fiend,,Not Provided,12,,,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,ø,Van Richten's Guide to Ravenloft,243,,,Treant Sapling,Large,Plant,,Chaotic Good,2,,,,,,,,,,,ø,,,,,,,,,The Wild Beyond The Witchlight,36,,,,,,,,,,,
Relentless Slasher,Medium,Fiend,,Not Provided,8,,,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,ø,Van Richten's Guide to Ravenloft,243,,,Kettlesteam the Kenku,Medium,Humanoid,Warlock,Chaotic Neutral,1,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,52,,,,,,,,,,,
Relic Sloth,Huge,Beast,,Unaligned,2,,,,,,,,,,,,,ø,ø,,,,,,Strixhaven: A Cirriculum of Chaos,210,,,Agdon Longscarf,Medium,Fey,Harengon,Chaotic Evil,2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,73,,,,,,,,,,,
Remallia Haventree,Medium,Humanoid,Elf,Chaotic Good,9,,x,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,214,,,Clapperclaw the Scarecrow,Small,Construct,,Lawful Neutral,1/2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,78,,,,,,,,,,,
Remnant Chosen,Medium,Humanoid,any race,Neutral Evil,12,,x,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,251,Tal'Dorei Campaign Setting 139,,Displacer Beast Kitten,Small,Monstrosity,,Unaligned,1/8,,,,,,,,,,,x,,,,,,,,,The Wild Beyond The Witchlight,108,,,,,,,,,,,
Remnant Cultist,Medium,Humanoid,any race,Neutral Evil,7,,x,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,252,Tal'Dorei Campaign Setting 139,,Squirt the Oilcan,Tiny,Construct,,Chaotic Neutral,1/4,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,111,,,,,,,,,,,
Remorhaz,Huge,Monstrosity,,Unaligned,11,,,,,,,,x,,,,,,,,,,,,Monster Manual,258,,,Flying Rocking Horse,Medium,Construct,,Unaligned,1/8,,,,,,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,121,,,,,,,,,,,
Repository,Medium,Construct,,Unaligned,7,,,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,306,,,Pollenella the Honeybee,Tiny,Beast,,Unaligned,0,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,135,,,,,,,,,,,
Resinous Frog,Small,Beast,,Unaligned,1/4,,,,,,o,,,,,,,,,x,,,,,Tome of Beasts 2,397,,,Amidor the Dandelion,Small,Plant,,Neutral Good,1/2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,135,,,,,,,,,,,
Retriever,Large,Construct,,Lawful Evil,14,,x,,,,,,,,x,x,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,209,Mordenkainen's Tome of Foes 222,,Glasswork Golem,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,193,,,,,,,,,,,
Returned Drifter,Medium,Undead,,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,240,,,Iggwilv the Witch Queen,Medium,Fey,Wizard,Chaotic Neutral,20,,x,x,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,205,,,,,,,,,,,
Returned Palamnite,Medium,Undead,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,241,,,Bavlorna Blightstraw,Medium,Fey,Hag,Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,216,,,,,,,,,,,
Returned Sentry,Medium,Undead,,Lawful Evil,1,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,241,,,Endelyn Moongrave,Medium,Fey,Hag,Neutral Evil,6,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,217,,,,,,,,,,,
Revenant,Medium,Undead,,Neutral,5,,,,,,,,x,,x,x,,x,,x,,,x,,Monster Manual,259,,,Skabatha Nightshade,Medium,Fey,Hag,Neutral Evil,8,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,218,,,,,,,,,,,
Reynard,Medium,Fey,Shapechanger,Chaotic Neutral,12,,,x,x,x,,,,,,x,,,,,,,,,Creature Codex,155,,,Kelek,Medium,Humanoid,"Human, Sorcerer",Chaotic Evil,5,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,219,,,,,,,,,,,
Rezmir,Medium,Humanoid,Half-Black Dragon,Neutral Evil,7,,,x,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,93,,,Skylla,Medium,Humanoid,"Human, Warlock",Chaotic Evil,2,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,220,,,,,,,,,,,
Rhan-Tegoth,Huge,Aberration,titan,Chaotic Evil,19,,x,x,,,,,,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,252,,,Warduke,Medium,Humanoid,Human,Chaotic Evil,5,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,221,,,,,,,,,,,
Rhinoceros,Large,Beast,,Unaligned,2,,,,,,,,,,,,x,,,,,,,,Monster Manual,336,,,Zarak,Medium,Humanoid,Orc,Chaotic Evil,2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,222,,,,,,,,,,,
"Rhopalocerex, Demon Lord of Deception",Large,Fiend,"Demon, Demon Lord",Chaotic Evil,20,,,x,x,x,,,,,,,,,,,,,,x,Tome of Beasts 2,90,,,Zargash,Medium,Humanoid,"Cleric, Human",Chaotic Evil,3,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,223,,,,,,,,,,,
Rictavio,Medium,Humanoid,,Lawful Good,5,,x,,,x,,,,,,,,,,,,,ø,,Curse of Strahd,238,,,Elkhorn,Medium,Humanoid,Dwarf,Lawful Good,2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,224,,,,,,,,,,,
Riding Horse,Large,Beast,,Unaligned,1/4,,,,,,,,,,,,x,,,,,,x,,Monster Manual,336,Player's Handbook 310,,Mercion,Medium,Humanoid,"Cleric, Human",Lawful Good,3,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,225,,,,,,,,,,,
Rift Swine,Large,Aberration,,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,,ø,Tome of Beasts,326,,,Molliver,Medium,Humanoid,Human,Chaotic Good,3,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,226,,,,,,,,,,,
Righteous Sentinel,Large,Construct,,Lawful Good,9,,,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,307,,,Ringlerun,Medium,Humanoid,"Human, Wizard",Lawful Good,5,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,227,,,,,,,,,,,
Rime Worm Grub,Medium,Elemental,,Neutral,1,,,,,,,,,,,,,,,,,,,,Tome of Beasts,327,,,Strongheart,Medium,Humanoid,"Human, Paladin",Lawful Good,4,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,228,,,,,,,,,,,
Ring Servant,Large,Construct,,Neutral,8,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,318,,,Brigganock,Tiny,Fey,,Neutral Good,1/8,,x,,,,,,,,,,,,,,x,,,x,The Wild Beyond The Witchlight,230,,,,,,,,,,,
Ringlerun,Medium,Humanoid,"Human, Wizard",Lawful Good,5,,x,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,227,,,Bullywug Knight,Medium,Humanoid,,Lawful Good,3,,,,,,,,,,,,,,,x,,,,,The Wild Beyond The Witchlight,231,,,,,,,,,,,
Rip Tide Priest,Medium,Humanoid,Human,Neutral Evil,2,,x,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,248,,,Campestri,Tiny,Plant,,Unaligned,0,,,,,,,,,,,ø,,,,ø,,,,,The Wild Beyond The Witchlight,232,,,,,,,,,,,
Risen Reaver,Large,Undead,,Chaotic Evil,7,,,,,,,,,,,,,,,ø,ø,,ø,,Tome of Beasts,328,,,Swarm of Campestris,Medium,Plant,Swarm,Unaligned,1,,,,,,,,,,,ø,,,,ø,,,,,The Wild Beyond The Witchlight,232,,,,,,,,,,,
Risen Warlock,Medium,Undead,,Chaotic Evil,14,,x,,,,,,,,,,,,,,x,,x,,Sandy Petersen's Cthulhu Mythos,390,,,Giant Dragonfly,Large,Beast,,Unaligned,1/2,,,,,,,,,,,ø,,,,ø,,,,,The Wild Beyond The Witchlight,234,,,,,,,,,,,
Rivermaw Brawler,Medium,Humanoid,any race,Not Provided,3,,,,,,,,,,,,ø,ø,ø,,,,,,Tal'Dorei Campaign Setting Reborn,254,Tal'Dorei Campaign Setting 134,,Giant Snail,Large,Beast,,Unaligned,1/4,,,,,,,,,,,ø,ø,,,ø,,,,,The Wild Beyond The Witchlight,234,,,,,,,,,,,
Rivermaw Stormborn,Medium,Humanoid,any race,Not Provided,4,,x,,,,,,,,,,ø,ø,ø,,,,,,Tal'Dorei Campaign Setting Reborn,254,Tal'Dorei Campaign Setting 133,,Harengon Brigand,Medium,Humanoid,,Any,1/8,,,,,,,,,,,ø,ø,ø,,,,,ø,,The Wild Beyond The Witchlight,235,,,,,,,,,,,
Roach,Medium,Monstrosity,,Unaligned,4,,,,,,,,,,,,,,ø,,ø,,,,Monster a Day Compendium 2.0,171,,,Harengon Sniper,Medium,Humanoid,,Any,1/4,,,,,,,,,,,ø,ø,ø,,,,,ø,,The Wild Beyond The Witchlight,235,,,,,,,,,,,
Roachling Lord,Small,Humanoid,,Chaotic Neutral,2,,,,,,,,,,,,ø,ø,,,ø,,ø,,Tome of Beasts,329,,,Jabberwock,Huge,Dragon,,Chaotic Evil,13,,,x,,,,,,,,x,,ø,ø,ø,,,,,The Wild Beyond The Witchlight,236,,,,,,,,,,,
Roachling Scout,Small,Humanoid,Roachling,Chaotic Neutral,2,,,,,,,,,,,,,,,,x,,x,,Creature Codex,319,,,Living Doll,Tiny,Construct,,Neutral Evil,2,,,,,,,,,,,,,,,,,,ø,,The Wild Beyond The Witchlight,237,,,,,,,,,,,
Roachling Skirmisher,Small,Humanoid,,Chaotic Neutral,1/4,,,,,,,,,,,,,,,ø,ø,,ø,,Tome of Beasts,329,,,Selenelion Twin,Medium,Humanoid,Elf,Chaotic Good,2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,241,,,,,,,,,,,
Roc,Gargantuan,Monstrosity,,Unaligned,11,,,,,,,,x,x,x,,,x,x,,,,,,Monster Manual,260,,,Acererak,Medium,Undead,,Neutral Evil,23,,x,x,,x,,,,,,,,,,,,,,,Tomb of Annihilation,209,,,,,,,,,,,
Rock Roach,Medium,Beast,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Tome of Beasts 2,308,,,Albino Dwarf Warrior,Medium,Humanoid,Dwarf,Any,1/4,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,210,,,,,,,,,,,
Rock Troll,Large,Giant,,Chaotic Evil,5,,,,,,,,,,,,,,ø,,,,,,Monster a Day Compendium 2.0,209,,,Aldani ,Medium,Monstrosity,Lobsterfolk,Lawful Neutral,1,,,,,,,,,ø,,,,,,,,ø,,,Tomb of Annihilation,210,,,,,,,,,,,
Roggenwolf,Medium,Monstrosity,,Neutral Evil,2,,,,,,,,,,,,x,,,,,,,,Creature Codex,320,,,Almiraj,Small,Beast,,Unaligned,0,,,,,,o,,,,,,,,,,,,,,Tomb of Annihilation,211,,,,,,,,,,,
Ronus,Medium,Monstrosity,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,193,,,Artus Cimber,Medium,Humanoid,Human,Neutral Good,7,,,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,212,,,,,,,,,,,
Rootling,Huge,Aberration,,Neutral Evil,10,,,,,,,,,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,195,,,Assassin Vine,Large,Plant,,Unaligned,3,,,,,,,,,,,ø,,,,,,,,,Tomb of Annihilation,213,Ghosts of Saltmarsh 230,,,,,,,,,,
Roper,Large,Monstrosity,,Neutral Evil,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,261,,,Astropal,Huge,Undead,Titan,Neutral Evil,13,,,x,,,,,,,,,,,,,,,ø,ø,Tomb of Annihilation,214,,,,,,,,,,,
Rosie Beestinger,Small,Humanoid,Halfling,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,203,,,Dragonbait,Medium,Humanoid,Surial,Lawful Good,5,,,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,218,,,,,,,,,,,
Rot Troll,Large,Giant,,Chaotic Evil,9,,,,,,,,,,x,x,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,247,,,Eblis,Large,Monstrosity,,Neutral Evil,1,,x,,,,,,,,,ø,,,,ø,,,,,Tomb of Annihilation,219,,,,,,,,,,,
Rot Troll,Large,Giant,,Chaotic Evil,9,,,,,,,,,,x,x,,,,x,x,,,,Mordenkainen's Tome of Foes,244,,,Flying Monkey,Small,Beast,,Unaligned,0,,,,,,o,,,,,ø,,,,,,,,,Tomb of Annihilation,220,,,,,,,,,,,
Rothorror,Large,Undead,,Chaotic Evil,7,,,,,,,,ø,,,,ø,ø,,,,,ø,,Dark Arts Player's Companion,48,,,Giant Four-Armed Gargoyle,Large,Elemental,,Chaotic Evil,10,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,221,,,,,,,,,,,
Rotsam,Tiny,Ooze,,Unaligned,2,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,309,,,Giant Strider,Large,Monstrosity,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,222,,,,,,,,,,,
Rotsam Swarm,Large,Ooze,Swarm,Unaligned,6,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,309,,,Giat Snapping Turtle,Large,Beast,,Unaligned,3,,,,,,,,,ø,,,,,,,,ø,,,Tomb of Annihilation,222,,,,,,,,,,,
Rotter,Medium,Construct,,Unaligned,5,,,,,,,,,,,,,,,,,,,,Return to the Glory,34,,,Jaculi,Large,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,225,,,,,,,,,,,
Rotting Wind,Large,Undead,,Neutral Evil,6,,,,,,,,,ø,,ø,,ø,,,,,,,Tome of Beasts,330,,,Kamadan,Large,Monstrosity,,Unaligned,4,,,,,,,,,,ø,ø,ø,ø,,ø,,,,,Tomb of Annihilation,225,,,,,,,,,,,
Rubblebelt Stalker,Medium,Humanoid,Any Race,Chaotic Neutral,1/2,,,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,Kobold Inventer,Small,Humanoid,Kobold,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,226,,,,,,,,,,,
Rubezahl,Medium,Fiend,Demon,Chaotic Evil,10,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,80,,,Kobold Scale Sorcerer,Small,Humanoid,Kobold,Lawful Neutral,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,226,,,,,,,,,,,
Ruby Ooze,Medium,Ooze,,Unaligned,6,,,,,,,,,,,,,,,,x,,,,Creature Codex,286,,,Liara Portyr,Medium,Humanoid,Human,Lawful Neutral,4,,,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,227,,,,,,,,,,,
Rug of Smothering,Large,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Monster Manual,20,,,Mantrap,Large,Plant,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,227,,,,,,,,,,,
Ruin,Large,Fiend,,Neutral Evil,15,,,,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,129,,,Mwaxanaré,Medium,Humanoid,Human,Lawful Neutral,1/8,,x,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,228,,,,,,,,,,,
Ruin Grinder,Large,Construct,,Unaligned,5,,,,,,,,,,,,,ø,ø,,,,ø,,Strixhaven: A Cirriculum of Chaos,211,,,Pterafolk,Large,Monstrosity,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,229,,,,,,,,,,,
Rum Gremlin,Tiny,Fey,,Chaotic Evil,1/2,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,239,,,Ras Nsi,Medium,Monstrosity,"Shapechanger, Yuan-Ti",Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,230,,,,,,,,,,,
Rum Lord,Small,Fey,,Chaotic Evil,4,,x,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,185,,,Stone Juggernaut,Large,Construct,,Unaligned,12,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,231,,,,,,,,,,,
Runeswarm,Large,Construct,Swarm,Unaligned,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,310,,,Su-Monster,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,232,,,,,,,,,,,
Rusalka,Medium,Fey,,Neutral Evil,4,,,,,,,,,ø,,ø,ø,,,,,,,,Monster a Day Compendium 2.0,172,,,Tabaxi Hunter,Medium,Humanoid,Tabaxi,Chaotic Good,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,232,,,,,,,,,,,
Rusalka,Medium,Undead,,Chaotic Evil,6,,x,,,,,,,,ø,,ø,ø,,,,,ø,,Tome of Beasts,331,,,Tabaxi Minstrel,Medium,Humanoid,Tabaxi,Chaotic Good,1/4,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,233,,,,,,,,,,,
Russet Mold,Medium,Plant,Fungus,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,194,,,Tri-Flower Frond,Medium,Plant,,Neutral,1/2,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,234,,,,,,,,,,,
Rust Drake,Medium,Dragon,,Chaotic Evil,8,,,,,,,,,,,,,,ø,,ø,,,,Tome of Beasts,155,,,Xandala,Medium,Humanoid,Half-elf,Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,236,,,,,,,,,,,
Rust Monster,Medium,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,262,,,Yellow Musk Creeper,Medium,Plant,,Unaligned,2,,,,,,,,,,,ø,,,,ø,ø,,,,Tomb of Annihilation,237,,,,,,,,,,,
Rutterkin,Medium,Fiend,demon,Chaotic Evil,2,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,210,Mordenkainen's Tome of Foes 136,,Yellow Musk Zombie,Medium,Plant,,Unaligned,1/2,,,,,,,,,,,ø,,,,ø,ø,,,,Tomb of Annihilation,237,,,,,,,,,,,
Ryven,Medium,Humanoid,,Neutral,1,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,195,,,Zindar,Medium,Humanoid,Half-Dragon,Lawful Good,8,,x,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,239,,,,,,,,,,,
Saber-Toothed Tiger,Large,Beast,,Unaligned,2,,,,,,,,x,,,,,,x,,,,,,Monster Manual,336,,,Ankylosaurus Zombie,Huge,Undead,Dinosaur,Unaligned,3,,,,,,,,,,,ø,,,,,ø,,,,Tomb of Annihilation,240,,,,,,,,,,,
Sacred Statue,Large,Construct,,Any,12,,,,,,,,,,x,x,x,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,114,,,Girallon Zombie,Large,Undead,,Chaotic Evil,3,,,,,,,,,,,,,,,ø,ø,,,,Tomb of Annihilation,240,Infernal Machine Rebuild 66,,,,,,,,,,
Sacred Statue,Large,Construct,Eidolon,Unaligned,12,,,,,,,,,x,x,x,x,,x,,,,x,,Mordenkainen's Tome of Foes,194,Infernal Machine Rebuild 79,,Tyrannosaurus Zombie,Huge,Undead,Dinosaur,Unaligned,8,,,,,,,,,,,ø,ø,,,ø,,,,,Tomb of Annihilation,241,,,,,,,,,,,
Sacred Stone Monk,Medium,Humanoid,Human,Lawful Neutral,1/2,,,,,,,,,,,,,,,,,,,,Princes of the Apocalypse,196,,,Zorbo,Small,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,241,,,,,,,,,,,
Saemon Havarian,Medium,Humanoid,Human,Chaotic Neutral,10,,x,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,122,,,Nihilethic Zombie,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,ø,,,,ø,ø,Tome of Beasts,9,,,,,,,,,,,
